image_id,file_path,canonical_class,food_family,width,height,source_type,annotated,review_status
VNFOOD_000001,images/srcA_H-000_jpg.rf.9b3c0354b6ea79e39d868d5d71f49079.jpg,nước chấm,sauce_condiment,640,640,web_scrape_A,True,verified
VNFOOD_000002,images/srcA_H-001_jpg.rf.ea49db583598a718178ea42e637ab5ac.jpg,món ăn khác,other,640,640,web_scrape_A,True,verified
VNFOOD_000003,images/srcA_H-002_jpg.rf.631ea2c0aadeaba32633fa07445d6ec4.jpg,nước chấm,sauce_condiment,640,640,web_scrape_A,True,verified
VNFOOD_000004,images/srcA_H-003_png.rf.d4f02e2aa94de318a31cfedb5fde0104.jpg,ngao sò,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000005,images/srcA_H-004_jpg.rf.e18f567c3afed2cb3f17491dac4ab805.jpg,món ăn khác,other,640,640,web_scrape_A,True,verified
VNFOOD_000006,images/srcA_H-005_jpg.rf.e3e8712d94597b542a6bfe28d7aae471.jpg,heo quay,meat_dish,640,640,web_scrape_A,True,verified
VNFOOD_000007,images/srcA_H-006_jpg.rf.1d5bd3939a43c39859dacc3b2806beeb.jpg,gỏi,salad_vegetable,640,640,web_scrape_A,True,verified
VNFOOD_000008,images/srcA_H-007_jpg.rf.0ca84175a22c721dfa8dcfc528442bec.jpg,ngao sò,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000009,images/srcA_H-008_jpg.rf.3defe255e39d813c40cbcee01e6a63ca.jpg,ốc,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000010,images/srcA_H-009_jpg.rf.11f9e6fee8ea6f1016167ae8495e9227.jpg,tôm,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000011,images/srcA_H-010_jpg.rf.f664af26ba9a8df4b9f165eaed8c18c8.jpg,mực,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000012,images/srcA_H-011_jpg.rf.addf69245d81cf6c2805821b93e7b756.jpg,tôm,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000013,images/srcA_H-012_jpg.rf.20093064d338224b22dab43c00197317.jpg,cua,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000014,images/srcA_H-013_jpg.rf.25089e96bb381520313bfdd7af853568.jpg,nước chấm,sauce_condiment,640,640,web_scrape_A,True,verified
VNFOOD_000015,images/srcA_H-014_jpg.rf.0caceb88ce10781e4af9d9d48c6217cc.jpg,rau sống,salad_vegetable,640,640,web_scrape_A,True,verified
VNFOOD_000016,images/srcA_H-015_jpg.rf.00f392b7bb318b7e5c118695b0ffa87c.jpg,tôm,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000017,images/srcA_H-016_jpg.rf.18183470157653a32c75009531aa6a75.jpg,mực,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000018,images/srcA_H-017_jpg.rf.310e26e1abbacd5750f2680bb9e5273d.jpg,tôm,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000019,images/srcA_H-018_jpg.rf.8484d42fe04261c18857c5ec1a24242d.jpg,rau sống,salad_vegetable,640,640,web_scrape_A,True,verified
VNFOOD_000020,images/srcA_H-019_jpg.rf.95c95b2a4d75fd18c90571cfb6751e05.jpg,ngao sò,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000021,images/srcA_H-021_jpg.rf.769476f327ba7ba7c4e0750c400ca24e.jpg,tôm,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000022,images/srcA_H-022_jpg.rf.5ce347c46f0a08d3306e956dd27448f8.jpg,món ăn khác,other,640,640,web_scrape_A,True,verified
VNFOOD_000023,images/srcA_H-023_jpg.rf.623448004d4b8f46367347f189fe296c.jpg,hàu,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000024,images/srcA_H-024_jpg.rf.b8fa91a975acf0d5afbf222989aaf9cd.jpg,ốc,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000025,images/srcA_H-026_jpg.rf.5343afe10d751990a4f08d9dd6858324.jpg,ốc,seafood,640,640,web_scrape_A,True,verified
VNFOOD_000026,images/srcA_H-053_jpg.rf.3c77d00f7e3b10ac0cd58d20e3d3dfb6.jpg,lẩu,soup,640,640,web_scrape_A,True,verified
